update,EQU count,XOR count,NOR count,ANDN count,OR count,ORN count,AND count,NAND count,NOT count
560,0,0,10,18,4,3,19,0,7
561,0,0,10,19,4,3,19,0,8
562,0,0,11,19,4,3,19,0,6
563,0,0,10,19,4,3,19,0,7
564,0,0,10,21,4,3,18,0,7
565,0,0,11,19,4,2,20,0,7
566,0,0,12,18,4,1,20,1,7
567,0,0,12,18,4,1,19,1,6
568,0,0,12,16,4,1,19,1,6
569,0,0,11,15,4,1,18,1,6
570,0,0,11,16,4,1,19,1,6
571,0,0,12,16,4,1,19,1,6
572,0,0,13,16,4,1,16,1,6
573,0,0,13,17,4,1,16,1,6
574,0,0,13,17,4,1,17,1,6
575,0,0,13,19,4,1,18,1,6
576,0,0,13,21,3,1,18,1,5
577,0,0,13,22,3,1,18,1,5
578,0,0,13,21,3,1,18,1,6
579,0,0,15,24,3,1,17,0,6
580,0,0,17,24,3,1,16,0,6
581,0,0,16,24,3,1,17,0,5
582,0,0,16,22,3,1,17,0,5
583,0,0,15,22,3,1,16,1,5
584,0,0,13,25,3,1,16,1,5
585,0,0,12,25,3,1,15,1,5
586,0,0,12,26,3,1,16,1,5
587,0,0,12,28,4,1,16,1,4
588,0,0,12,27,4,1,16,1,4
589,0,0,13,26,4,1,16,1,3
590,0,0,13,26,4,0,17,1,3
591,0,0,12,26,4,0,17,1,4
592,0,0,14,25,3,0,17,1,4
593,0,0,15,25,4,0,18,1,4
594,0,0,15,25,4,0,17,1,4
595,0,0,15,24,4,0,18,1,3
596,0,0,15,23,4,0,17,1,3
597,0,0,15,21,4,0,18,1,3
598,0,0,16,21,4,0,18,1,3
599,0,0,16,20,4,0,17,1,4
600,0,0,16,20,4,0,18,1,4
601,0,0,16,19,4,0,19,1,4
602,0,0,15,19,4,0,20,1,3
603,0,0,16,20,4,0,20,1,4
604,0,0,16,19,4,0,21,1,4
605,0,0,16,20,4,0,25,1,4
606,0,0,17,20,4,0,23,2,4
607,0,0,18,20,4,1,24,2,4
608,0,0,19,20,4,1,24,3,4
609,0,0,18,21,4,1,25,3,4
610,0,0,17,21,4,1,23,3,4
611,0,0,17,19,4,1,24,3,4
612,0,0,16,19,4,1,23,3,4
613,0,0,17,18,4,1,23,3,3
614,0,0,16,19,5,1,23,4,3
615,0,0,18,20,4,1,23,4,3
616,0,0,18,21,4,1,21,4,3
617,0,0,15,20,4,1,20,5,4
618,0,0,15,20,3,1,20,5,4
619,0,0,15,20,3,1,20,5,4
620,0,0,14,20,3,1,21,5,4
621,0,0,13,23,2,1,20,5,4
622,0,0,13,21,2,1,21,5,4
623,0,0,14,23,2,1,19,5,4
624,0,0,15,23,2,1,19,5,4
625,0,0,14,23,2,1,19,5,4
626,0,0,14,23,3,1,19,4,3
627,0,0,14,20,3,1,15,4,2
628,0,0,14,20,2,1,16,4,3
629,0,0,14,21,3,1,15,4,3
630,0,0,13,22,2,1,16,4,3
631,0,0,13,21,2,1,16,4,3
632,0,0,13,20,2,1,15,3,2
633,0,0,12,20,2,1,15,2,2
634,0,0,12,19,2,1,15,2,2
635,0,0,12,20,2,1,16,2,2
636,0,0,13,21,2,1,14,2,2
637,0,0,12,22,2,1,13,2,1
638,0,0,12,23,2,1,13,3,1
639,0,0,12,20,2,1,14,3,1
640,0,0,13,21,2,1,13,3,0
641,0,0,15,20,2,1,12,3,0
642,0,0,15,21,1,1,13,3,0
643,0,0,16,20,1,0,12,3,0
644,0,0,17,20,1,0,12,3,2
645,0,0,18,20,1,0,12,2,2
646,0,0,17,20,1,0,11,2,3
647,0,0,18,22,1,0,11,2,3
648,0,0,19,22,1,0,11,1,2
649,0,0,23,22,1,0,10,1,3
650,0,0,23,22,1,0,11,1,3
651,0,0,21,24,1,0,10,1,3
652,0,0,20,22,1,0,9,1,3
653,0,0,18,20,1,0,7,1,3
654,0,0,18,19,1,0,8,1,3
655,0,0,17,18,0,0,9,1,3
656,0,0,18,17,0,0,9,1,2
657,0,0,16,17,0,0,10,1,2
658,0,0,17,16,0,0,10,1,2
659,0,0,16,15,0,0,9,0,2
660,0,0,17,15,0,0,9,0,2
661,0,0,16,14,0,0,9,1,2
662,0,0,13,13,0,0,11,1,2
663,0,0,13,13,0,0,10,1,2
664,0,0,11,12,0,0,10,1,2
665,0,0,11,12,0,0,9,1,2
666,0,0,10,13,0,0,11,1,2
667,0,0,11,15,1,0,11,1,2
668,0,0,11,16,1,0,11,1,2
669,0,0,11,16,1,0,10,1,2
670,0,0,10,17,1,0,9,1,2
671,0,0,10,18,1,0,12,2,3
672,0,0,9,18,1,0,11,2,2
673,0,0,10,18,1,0,11,2,3
674,0,0,11,17,1,0,10,2,3
675,0,0,12,18,1,0,12,2,3
676,0,0,10,19,2,0,13,2,3
677,0,0,10,18,3,0,13,1,3
678,0,0,9,19,3,0,13,1,3
679,0,0,9,19,4,0,13,1,3
680,0,0,9,20,4,0,14,1,3
681,0,0,8,19,4,0,16,1,3
682,0,0,7,18,4,0,17,1,3
683,0,0,7,17,3,0,17,1,3
684,0,0,6,18,3,0,18,0,4
685,0,0,6,18,3,0,19,0,5
686,0,0,5,17,3,0,19,0,5
687,0,0,4,17,3,1,21,0,5
688,0,0,2,18,1,1,20,0,5
689,0,0,6,18,1,1,21,0,5
690,0,0,6,18,1,1,21,0,5
691,0,0,8,19,1,1,21,0,5
692,0,0,8,19,1,1,22,0,5
